DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,,"PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS",,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,,SPENDING HABITS,,HEALTH HABITS,HEALTH HABITS,,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,,PHOBIAS
masters degree,77,no,block of flats,,1,5,5,3,4,4,2,3,4,3,1,4,4,,2,2,1,few hours a day,5,5,3,1,,4,,5,never smoked,,2,1,2,3,1,,1,4,3,4,,5
college/bachelor degree,68,no,block of flats,,3,3,1,2,3,3,3,3,3,5,2,2,5,,5,3,1,few hours a day,5,5,4,1,,4,,3,never smoked,,1,1,1,3,3,,5,4,2,3,,1
primary school,50,yes,block of flats,,4,3,3,3,1,3,3,4,2,5,4,3,3,,4,1,2,few hours a day,5,3,3,1,,3,,3,never smoked,,2,5,5,3,2,,4,2,3,3,,1
college/bachelor degree,75,no,house/bungalow,,3,4,5,3,3,5,5,4,4,3,4,4,5,,4,1,1,most of the day,3,5,3,1,,1,,5,current smoker,,4,1,2,3,4,,2,3,3,3,,3
college/bachelor degree,60,no,house/bungalow,,4,4,5,3,2,4,3,4,2,3,5,4,4,,5,4,2,few hours a day,5,5,5,,,3,,3,current smoker,,4,2,2,3,5,,3,3,2,3,,1
secondary school,65,no,block of flats,,4,3,4,5,2,5,2,5,2,5,2,4,5,,4,3,2,less than an hour a day,5,4,5,3,,3,,4,former smoker,,2,5,5,2,2,,4,5,3,2,,1
secondary school,80,no,block of flats,,4,2,4,4,3,4,1,4,3,5,3,4,4,,3,5,5,most of the day,4,4,3,1,,3,,2,tried smoking,,1,3,3,4,3,,4,3,4,4,,2
secondary school,90,no,block of flats,,4,2,2,5,1,3,4,5,4,1,4,2,4,,3,1,1,few hours a day,5,2,3,1,,3,,2,tried smoking,,3,2,1,2,1,,1,1,3,3,,1
masters degree,95,no,block of flats,,5,3,5,5,5,3,5,5,3,2,4,3,5,,1,5,1,most of the day,5,5,5,2,,1,,1,tried smoking,,1,3,5,5,1,,1,4,5,5,,1
secondary school,79,no,house/bungalow,,4,2,2,5,3,2,2,4,1,2,3,2,4,,3,1,1,less than an hour a day,4,4,3,2,,1,,1,former smoker,,3,3,3,2,2,,4,2,4,5,,1
college/bachelor degree,57,no,house/bungalow,,3,1,3,1,3,4,3,5,4,5,3,3,1,,5,4,1,few hours a day,5,2,5,2,,4,,3,tried smoking,,1,3,5,4,3,,5,1,5,5,,3
secondary school,,no,block of flats,,4,3,5,3,2,4,4,2,3,3,4,4,3,,5,5,2,few hours a day,5,2,5,2,,4,,3,tried smoking,,3,3,3,3,4,,1,1,4,5,,2
secondary school,60,no,house/bungalow,,5,3,4,5,3,3,5,5,3,3,3,2,5,,5,5,1,less than an hour a day,4,5,5,1,,3,,4,tried smoking,,5,4,4,4,3,,5,3,5,5,,3
secondary school,44,no,block of flats,,4,4,5,5,4,4,3,4,3,4,3,3,4,,5,3,2,less than an hour a day,5,3,4,1,,3,,3,current smoker,,2,2,3,4,3,,2,3,5,5,,3
college/bachelor degree,58,no,block of flats,,5,3,3,5,4,5,3,5,1,5,4,5,5,,4,2,1,few hours a day,5,2,5,1,,3,,4,tried smoking,,5,5,5,3,1,,2,4,3,5,,4
currently a primary school pupil,50,yes,block of flats,,3,3,1,5,5,3,5,2,3,3,2,3,5,,3,5,1,few hours a day,5,3,5,1,,4,,3,never smoked,,2,1,1,5,4,,3,3,2,2,,1
secondary school,88,no,house/bungalow,,3,3,5,5,3,2,5,3,3,3,3,3,3,,1,1,1,few hours a day,5,5,2,1,,3,,2,current smoker,,1,1,3,4,4,,5,5,5,5,,1
secondary school,60,yes,block of flats,,4,4,1,5,3,5,4,3,4,3,4,3,4,,5,3,1,few hours a day,5,2,4,1,,3,,3,tried smoking,,5,2,3,3,4,,2,3,5,5,,2
secondary school,54,no,block of flats,,5,5,5,5,5,5,5,1,1,5,3,5,5,,3,2,1,less than an hour a day,4,1,5,1,,1,,3,current smoker,,1,1,1,3,1,,1,1,3,1,,1
secondary school,68,no,house/bungalow,,5,2,4,4,2,3,4,3,2,3,3,2,4,,2,4,2,few hours a day,5,2,4,1,,2,,4,never smoked,,2,2,2,4,2,,3,3,3,3,,3
college/bachelor degree,56,no,block of flats,,4,4,4,2,1,5,3,2,4,2,3,3,5,,5,4,1,few hours a day,5,4,2,1,,4,,2,tried smoking,,2,2,5,4,3,,3,3,4,4,,1
secondary school,69,no,house/bungalow,,5,1,5,4,3,5,5,5,1,5,3,2,5,,5,1,5,few hours a day,5,1,3,1,,5,,5,current smoker,,3,1,1,3,4,,1,5,5,5,,5
secondary school,54,no,house/bungalow,,4,2,4,3,4,1,4,5,2,4,2,2,4,,2,3,3,few hours a day,5,2,4,2,,3,,2,tried smoking,,3,1,4,5,3,,2,3,4,3,,1
secondary school,60,no,house/bungalow,,4,1,1,5,1,3,5,2,4,4,3,1,5,,2,2,1,most of the day,5,5,4,1,,5,,3,current smoker,,1,2,2,1,1,,3,5,1,1,,5
primary school,60,no,house/bungalow,,4,3,2,4,4,3,4,2,2,4,3,4,4,,5,2,1,less than an hour a day,3,1,3,3,,3,,3,tried smoking,,4,2,2,4,1,,3,5,3,3,,2
secondary school,53,yes,house/bungalow,,3,3,3,3,4,4,3,3,1,4,3,3,3,,2,1,3,less than an hour a day,4,2,2,1,,3,,3,former smoker,,3,5,5,5,3,,2,2,1,4,,1
secondary school,52,no,house/bungalow,,3,1,5,3,3,4,4,5,1,5,4,4,5,,3,5,1,few hours a day,5,3,3,1,,1,,3,former smoker,,1,3,3,1,1,,2,3,5,5,,1
secondary school,55,no,house/bungalow,,5,4,3,5,5,3,3,5,2,4,3,3,5,,3,5,2,few hours a day,5,5,4,3,,1,,4,never smoked,,3,3,5,2,2,,5,2,5,5,,1
college/bachelor degree,76,no,block of flats,,5,,2,5,1,5,4,2,3,,4,3,3,,4,2,1,few hours a day,5,3,5,4,,3,,4,current smoker,,5,3,1,4,4,,5,5,5,5,,2
masters degree,67,no,house/bungalow,,4,3,5,5,3,3,3,3,3,3,3,3,5,,5,2,4,few hours a day,5,4,5,3,,3,,4,tried smoking,,3,3,3,3,1,,1,5,5,4,,5
secondary school,60,yes,block of flats,,3,2,4,5,5,5,3,5,4,3,3,3,4,,1,2,1,few hours a day,5,4,5,2,,3,,3,former smoker,,2,1,2,5,5,,2,2,5,5,,1
secondary school,57,no,house/bungalow,,5,3,5,5,5,5,3,5,3,3,4,3,5,,5,1,3,less than an hour a day,5,5,5,4,,3,,3,former smoker,,1,3,2,3,3,,5,5,5,5,,1
masters degree,65,no,house/bungalow,,5,3,4,5,3,2,5,5,3,1,2,1,5,,2,1,1,less than an hour a day,5,1,3,1,,1,,3,current smoker,,2,1,1,1,1,,3,4,4,4,,1
secondary school,77,no,block of flats,,4,1,4,3,1,3,5,4,3,2,2,4,5,,4,2,1,few hours a day,5,2,4,1,,1,,3,tried smoking,,3,4,5,3,2,,4,4,5,5,,1
primary school,56,no,block of flats,,3,5,4,4,3,4,4,3,3,3,4,3,3,,3,3,1,few hours a day,4,2,4,2,,3,,3,tried smoking,,2,3,4,5,3,,3,3,5,5,,3
secondary school,62,yes,block of flats,,4,2,2,4,3,3,3,4,4,3,3,3,3,,4,2,1,most of the day,5,3,4,1,,5,,3,tried smoking,,1,2,3,2,2,,2,5,4,5,,4
masters degree,53,no,house/bungalow,,2,4,3,5,2,4,5,4,3,2,3,2,5,,5,5,2,less than an hour a day,5,2,5,3,,4,,2,tried smoking,,4,2,4,3,2,,4,3,5,4,,2
secondary school,78,no,house/bungalow,,4,4,3,4,5,4,3,3,3,3,4,2,3,,4,3,3,few hours a day,5,5,4,3,,3,,4,tried smoking,,4,4,2,4,3,,3,4,5,4,,3
secondary school,80,no,block of flats,,3,3,1,5,4,4,4,5,2,4,2,5,2,,5,3,1,few hours a day,5,5,4,1,,1,,3,current smoker,,3,1,3,2,3,,3,4,3,2,,3
secondary school,56,no,block of flats,,3,3,5,3,2,3,5,5,4,5,3,4,4,,4,4,1,few hours a day,5,4,1,1,,1,,5,tried smoking,,3,2,2,4,2,,3,5,2,2,,5
secondary school,83,no,block of flats,,3,1,1,5,5,5,5,3,1,2,4,2,5,,4,4,5,few hours a day,5,2,4,1,,5,,4,tried smoking,,5,1,2,4,4,,4,3,3,2,,2
secondary school,60,no,block of flats,,4,3,5,5,4,4,4,3,3,3,4,1,3,,4,1,4,few hours a day,5,2,3,2,,3,,3,former smoker,,1,1,1,1,2,,2,2,4,3,,2
secondary school,62,no,block of flats,,3,3,2,2,4,5,5,4,3,1,3,2,5,,2,3,5,few hours a day,4,3,3,1,,1,,3,tried smoking,,4,2,2,2,2,,4,3,4,4,,5
secondary school,55,yes,block of flats,,5,4,3,2,3,4,3,5,1,2,3,1,5,,3,2,1,few hours a day,5,2,1,1,,1,,4,former smoker,,1,1,1,2,3,,2,3,1,1,,3
secondary school,74,no,house/bungalow,,5,4,3,4,4,4,2,4,2,4,3,5,5,,4,2,1,few hours a day,4,4,3,3,,1,,4,current smoker,,2,2,2,1,4,,2,2,5,5,,1
secondary school,70,no,block of flats,,4,4,1,3,4,5,5,3,3,3,4,3,5,,5,4,1,few hours a day,5,3,3,1,,4,,1,current smoker,,2,1,1,5,4,,3,5,2,2,,4
secondary school,58,no,block of flats,,4,1,3,4,3,4,3,3,3,3,5,3,3,,4,4,1,few hours a day,5,3,3,2,,4,,4,former smoker,,3,1,4,4,3,,2,3,2,3,,4
college/bachelor degree,48,no,house/bungalow,,3,3,2,4,2,3,3,4,3,2,3,3,3,,1,4,5,few hours a day,5,2,4,1,,1,,4,tried smoking,,5,1,2,3,1,,2,2,5,5,,2
secondary school,58,no,block of flats,,4,1,1,4,2,4,5,4,4,2,3,3,4,,3,3,3,few hours a day,5,4,3,2,,2,,3,former smoker,,2,1,3,4,3,,3,4,5,5,,3
secondary school,54,no,house/bungalow,,3,1,2,4,2,5,4,5,2,5,4,4,5,,5,4,1,few hours a day,5,1,3,1,,2,,4,tried smoking,,3,3,4,2,3,,5,4,3,3,,2
secondary school,54,no,block of flats,,4,3,5,5,2,4,3,3,3,3,3,2,5,,4,3,3,few hours a day,5,1,5,1,,1,,3,tried smoking,,2,2,2,3,2,,3,3,3,2,,4
secondary school,43,yes,block of flats,,4,3,5,5,3,4,5,4,3,3,4,4,3,,4,4,1,few hours a day,5,1,4,3,,5,,4,tried smoking,,5,1,2,4,4,,3,2,5,5,,1
secondary school,70,no,block of flats,,5,2,4,2,4,2,5,4,2,2,3,2,3,,3,3,1,few hours a day,5,2,1,1,,3,,2,current smoker,,1,1,2,4,4,,3,3,2,1,,1
masters degree,55,no,house/bungalow,,5,4,5,5,1,2,1,5,1,5,5,5,5,,5,5,4,less than an hour a day,3,3,4,3,,1,,5,never smoked,,1,2,3,1,1,,1,2,3,3,,1
secondary school,49,no,house/bungalow,,5,3,5,5,5,5,3,5,2,5,3,3,3,,5,1,1,few hours a day,5,1,4,1,,3,,4,current smoker,,2,2,2,4,4,,3,4,4,4,,3
secondary school,67,yes,house/bungalow,,4,1,1,5,3,3,5,5,1,5,3,3,5,,3,3,5,few hours a day,5,2,4,2,,3,,4,current smoker,,5,1,2,3,2,,2,5,5,5,,3
college/bachelor degree,82,no,house/bungalow,,5,1,5,2,2,4,5,3,2,5,3,4,4,,2,2,3,few hours a day,5,2,1,4,,3,,5,tried smoking,,3,4,5,4,2,,5,5,5,5,,1
college/bachelor degree,65,no,house/bungalow,,5,4,2,4,2,4,2,4,2,3,4,3,4,,3,1,3,less than an hour a day,4,3,4,1,,4,,4,tried smoking,,3,1,3,3,3,,2,4,3,3,,2
masters degree,63,no,block of flats,,5,1,2,5,3,5,4,5,2,5,4,3,5,,5,5,1,less than an hour a day,5,3,5,2,,5,,5,former smoker,,1,1,1,4,3,,1,5,2,5,,5
secondary school,,yes,house/bungalow,,4,1,1,5,3,3,5,5,2,5,3,3,5,,3,3,5,few hours a day,5,2,4,2,,3,,4,current smoker,,5,1,1,2,2,,2,5,5,5,,3
secondary school,48,yes,house/bungalow,,4,2,1,3,2,4,5,2,3,1,4,3,4,,5,4,1,few hours a day,5,2,4,2,,3,,4,tried smoking,,2,1,2,2,3,,2,5,5,5,,4
secondary school,58,no,house/bungalow,,3,3,4,3,1,3,3,1,3,3,5,2,5,,5,2,2,less than an hour a day,4,3,4,4,,2,,4,never smoked,,2,2,2,4,3,,1,3,4,5,,2
secondary school,80,no,block of flats,,4,1,5,5,2,2,4,1,1,2,5,5,3,,2,5,4,few hours a day,5,5,2,1,,5,,5,tried smoking,,1,1,1,3,5,,2,3,1,1,,1
secondary school,62,no,house/bungalow,,4,2,3,3,2,3,5,5,2,2,3,2,4,,3,2,1,few hours a day,5,5,4,1,,1,,3,tried smoking,,2,1,2,4,2,,5,4,3,2,,2
secondary school,52,no,house/bungalow,,5,4,5,1,1,2,5,5,1,5,5,1,1,,5,5,5,few hours a day,5,5,5,1,,3,,5,tried smoking,,5,5,5,5,5,,5,1,1,5,,1
secondary school,62,yes,block of flats,,4,2,3,3,3,3,4,4,4,2,4,1,4,,5,4,2,less than an hour a day,5,1,4,1,,4,,3,tried smoking,,2,3,3,2,1,,1,2,5,5,,2
secondary school,78,no,block of flats,,2,1,5,5,3,3,5,3,3,2,3,5,5,,5,5,1,few hours a day,5,4,1,1,,5,,5,tried smoking,,1,1,1,3,5,,2,5,3,3,,5
masters degree,96,yes,house/bungalow,,4,3,3,3,3,3,3,3,3,4,3,3,3,,4,4,2,few hours a day,4,3,4,3,,3,,3,tried smoking,,4,4,3,2,1,,2,3,3,3,,2
college/bachelor degree,60,no,house/bungalow,,4,3,5,3,3,3,1,4,4,2,4,4,3,,3,3,3,few hours a day,4,3,4,3,,3,,3,tried smoking,,2,1,3,3,3,,3,3,5,5,,5
secondary school,60,yes,block of flats,,3,3,1,5,5,3,2,5,1,2,3,2,2,,4,2,2,less than an hour a day,5,2,5,3,,1,,4,never smoked,,5,1,3,3,3,,1,1,5,4,,3
secondary school,50,no,house/bungalow,,3,1,1,2,3,4,4,5,2,3,5,4,5,,5,5,1,few hours a day,2,4,5,1,,4,,4,tried smoking,,5,2,3,4,2,,1,4,3,3,,3
secondary school,46,no,house/bungalow,,4,3,1,5,3,4,2,5,4,4,4,4,4,,5,5,1,less than an hour a day,4,4,4,1,,3,,3,never smoked,,5,2,3,3,2,,3,3,3,3,,3
college/bachelor degree,72,yes,block of flats,,3,3,4,3,,3,5,2,5,2,3,4,3,,4,1,1,few hours a day,5,4,3,2,,3,,1,former smoker,,3,1,3,3,4,,3,3,3,3,,1
secondary school,46,no,house/bungalow,,3,3,5,4,2,3,5,4,3,5,4,3,2,,3,1,1,few hours a day,4,1,2,1,,1,,4,tried smoking,,2,1,3,4,4,,2,2,3,3,,4
secondary school,60,yes,house/bungalow,,4,3,1,,3,4,2,4,3,3,4,3,4,,4,3,1,few hours a day,4,3,3,2,,5,,4,current smoker,,2,2,4,3,5,,3,3,3,3,,3
secondary school,83,yes,block of flats,,5,4,4,5,1,4,3,3,5,5,2,4,5,,4,4,1,most of the day,5,5,5,1,,3,,5,tried smoking,,1,1,1,5,4,,4,5,5,5,,4
secondary school,58,no,block of flats,,5,3,1,3,4,4,3,5,2,2,4,2,5,,3,4,1,few hours a day,5,4,3,2,,3,,3,never smoked,,3,3,2,4,3,,2,5,3,3,,3
secondary school,74,no,block of flats,,5,2,5,4,2,3,4,3,2,5,3,1,5,,2,3,4,few hours a day,5,4,4,1,,3,,1,tried smoking,,2,1,2,4,2,,5,4,5,4,,3
masters degree,78,no,block of flats,,3,1,2,4,3,3,2,5,2,2,3,2,4,,1,4,2,few hours a day,2,1,3,1,,4,,3,never smoked,,1,2,3,2,1,,2,4,1,1,,4
masters degree,64,yes,house/bungalow,,5,1,1,5,2,1,2,2,1,5,1,3,5,,3,3,5,less than an hour a day,3,3,4,1,,1,,5,current smoker,,1,1,1,1,1,,1,2,3,4,,1
secondary school,80,no,house/bungalow,,5,2,3,5,1,4,2,1,3,4,4,3,4,,2,1,5,few hours a day,5,5,3,1,,1,,4,tried smoking,,1,1,3,5,5,,3,3,2,2,,2
secondary school,60,no,,,2,2,5,5,2,2,5,4,3,3,3,3,4,,3,3,2,few hours a day,5,2,4,1,,2,,3,current smoker,,4,2,4,3,3,,2,3,5,5,,1
secondary school,60,no,house/bungalow,,3,2,5,5,3,4,3,5,3,4,3,3,4,,3,2,4,few hours a day,,3,3,2,,3,,4,tried smoking,,5,2,4,2,3,,1,2,3,3,,2
secondary school,53,no,block of flats,,4,4,3,5,3,3,5,3,3,2,4,2,4,,2,2,5,most of the day,4,2,3,1,,5,,3,tried smoking,,2,1,2,2,1,,4,4,3,3,,3
masters degree,80,no,house/bungalow,,4,3,3,4,1,5,3,3,4,3,2,1,5,,5,5,2,most of the day,5,3,3,1,,4,,5,former smoker,,2,2,2,5,2,,4,4,2,1,,2
secondary school,57,no,block of flats,,3,3,3,4,2,3,3,3,3,2,3,3,4,,4,3,4,few hours a day,5,2,3,3,,2,,3,tried smoking,,4,2,3,3,3,,3,4,4,4,,3
secondary school,55,no,block of flats,,5,2,4,5,1,4,3,3,3,2,4,3,3,,5,3,4,few hours a day,5,4,4,4,,3,,2,tried smoking,,5,4,3,5,4,,5,4,5,5,,1
college/bachelor degree,65,no,block of flats,,5,4,1,1,2,4,1,1,4,5,4,1,4,,,4,1,few hours a day,5,5,4,1,,1,,5,never smoked,,1,4,5,4,1,,4,4,2,3,,3
secondary school,82,no,block of flats,,4,1,5,5,1,2,2,4,2,4,3,3,3,,1,2,2,few hours a day,4,4,2,1,,4,,3,tried smoking,,1,1,1,2,4,,4,4,3,2,,1
college/bachelor degree,73,yes,house/bungalow,,3,1,1,5,3,3,1,4,3,2,3,3,5,,4,3,5,few hours a day,5,2,1,1,,3,,3,former smoker,,5,1,5,3,3,,2,3,5,5,,4
secondary school,57,no,block of flats,,5,3,1,2,4,3,2,3,3,5,3,2,3,,4,3,1,few hours a day,5,3,3,3,,3,,4,tried smoking,,2,2,2,3,3,,4,4,4,4,,5
secondary school,64,no,block of flats,,4,1,5,5,1,3,3,2,3,3,3,2,5,,5,3,1,few hours a day,3,3,5,1,,4,,2,never smoked,,4,1,2,4,1,,3,4,5,1,,5
masters degree,57,no,block of flats,,4,2,2,3,2,4,2,5,4,5,2,5,5,,5,2,2,few hours a day,4,3,3,1,,2,,5,tried smoking,,3,1,2,4,3,,3,5,2,4,,4
secondary school,66,no,house/bungalow,,3,3,3,5,5,3,5,5,1,1,3,4,5,,3,2,3,most of the day,5,5,5,1,,3,,1,current smoker,,1,1,1,5,,,5,1,2,5,,1
secondary school,75,no,block of flats,,5,3,5,4,2,2,2,4,3,4,4,5,3,,5,4,2,few hours a day,4,4,5,1,,2,,3,tried smoking,,3,4,5,2,3,,4,4,3,3,,1
college/bachelor degree,49,yes,house/bungalow,,5,2,5,3,2,5,5,3,2,1,3,5,5,,5,5,1,few hours a day,5,1,2,1,,5,,3,current smoker,,1,1,1,2,3,,1,5,5,5,,5
primary school,50,no,block of flats,,5,4,1,3,2,3,3,2,3,5,4,3,5,,4,1,1,less than an hour a day,4,1,2,1,,2,,4,never smoked,,5,2,2,3,5,,1,2,4,5,,5
secondary school,56,no,block of flats,,4,1,5,3,3,3,5,2,2,3,3,2,5,,4,3,2,less than an hour a day,4,3,3,1,,1,,3,former smoker,,5,2,2,3,3,,4,4,4,4,,1
secondary school,68,no,block of flats,,4,2,5,5,4,4,2,5,2,5,4,2,5,,5,5,2,few hours a day,5,3,4,2,,4,,5,former smoker,,3,2,4,3,1,,2,2,5,5,,2
college/bachelor degree,78,no,block of flats,,4,2,4,2,2,3,5,3,3,2,3,3,3,,2,2,1,most of the day,5,3,3,2,,4,,3,current smoker,,4,1,2,4,5,,3,5,3,2,,2
secondary school,55,no,block of flats,,5,4,5,3,4,4,5,5,3,4,4,2,3,,4,3,2,few hours a day,5,2,4,2,,1,,4,tried smoking,,2,2,2,2,1,,3,3,4,3,,3
secondary school,,no,block of flats,,4,3,5,5,2,5,5,5,2,5,4,3,4,,4,3,2,most of the day,5,3,3,5,,4,,4,tried smoking,,2,1,2,2,2,,3,5,3,3,,5
college/bachelor degree,52,no,block of flats,,5,3,5,5,3,3,3,2,3,3,3,3,3,,2,4,3,less than an hour a day,4,2,5,3,,2,,3,never smoked,,4,4,5,3,2,,2,4,4,5,,2
secondary school,60,no,house/bungalow,,4,3,3,3,3,4,3,4,,3,2,3,4,,3,2,1,less than an hour a day,5,2,2,1,,3,,4,former smoker,,4,5,4,3,1,,3,1,1,1,,1
secondary school,50,no,house/bungalow,,2,2,5,3,3,3,5,4,3,2,3,3,3,,5,3,1,few hours a day,5,1,5,3,,3,,4,tried smoking,,3,1,3,3,1,,2,1,5,5,,3
secondary school,76,no,house/bungalow,,4,1,4,5,1,3,5,5,4,5,3,3,5,,2,1,1,most of the day,5,5,3,1,,1,,1,tried smoking,,1,2,3,2,1,,4,4,4,4,,1
secondary school,58,no,house/bungalow,,4,3,4,5,3,3,5,4,2,2,4,3,5,,4,3,5,few hours a day,5,4,4,2,,2,,5,tried smoking,,4,4,4,3,1,,5,3,5,5,,2
secondary school,60,no,block of flats,,5,3,5,4,5,3,5,5,1,4,3,3,5,,5,2,2,few hours a day,5,2,4,1,,5,,3,tried smoking,,5,2,4,4,2,,1,5,2,2,,3
masters degree,86,no,house/bungalow,,5,,5,2,2,3,5,2,3,4,4,2,5,,4,1,1,most of the day,5,5,2,1,,5,,2,tried smoking,,1,3,4,4,3,,5,5,5,5,,2
masters degree,60,no,block of flats,,5,3,4,5,3,2,1,5,2,5,3,2,5,,4,5,2,few hours a day,3,5,5,1,,1,,5,never smoked,,4,4,5,2,1,,5,1,5,5,,3
college/bachelor degree,50,no,house/bungalow,,4,3,5,3,1,4,5,1,2,4,4,4,3,,4,5,5,few hours a day,5,3,5,5,,4,,2,former smoker,,2,1,2,5,5,,4,4,2,4,,1
secondary school,75,no,house/bungalow,,4,2,5,3,3,4,5,2,2,3,3,3,4,,2,2,4,few hours a day,5,3,2,1,,2,,2,current smoker,,2,1,2,3,3,,4,4,4,3,,2
secondary school,83,no,block of flats,,3,3,3,3,3,3,4,5,3,4,4,3,4,,2,2,1,few hours a day,5,5,1,1,,4,,1,former smoker,,1,1,1,2,5,,3,5,2,2,,1
college/bachelor degree,53,no,house/bungalow,,3,3,2,3,1,3,3,3,4,3,3,2,3,,2,4,5,few hours a day,4,2,4,3,,2,,3,tried smoking,,4,2,3,3,2,,4,3,1,5,,1
secondary school,65,yes,house/bungalow,,4,2,2,4,3,4,3,1,2,4,4,5,5,,5,4,,few hours a day,5,3,5,1,,4,,4,tried smoking,,1,1,4,1,1,,3,4,4,4,,1
secondary school,,yes,house/bungalow,,4,1,1,5,3,5,3,5,4,5,5,3,5,,5,5,1,few hours a day,5,5,4,1,,5,,1,tried smoking,,3,1,3,4,4,,3,2,5,5,,5
college/bachelor degree,70,yes,house/bungalow,,4,2,2,5,2,3,3,5,3,5,3,3,5,,4,3,1,less than an hour a day,5,5,5,1,,4,,3,never smoked,,3,4,4,5,4,,4,3,3,4,,5
secondary school,75,no,block of flats,,4,4,1,5,4,3,4,2,3,3,4,1,5,,5,3,3,few hours a day,5,5,5,1,,4,,4,tried smoking,,2,1,3,3,4,,4,3,4,4,,2
college/bachelor degree,58,yes,house/bungalow,,5,3,5,1,1,5,3,5,1,5,4,3,5,,5,5,1,few hours a day,4,3,5,3,,5,,5,tried smoking,,,2,2,2,1,,5,2,1,3,,1
secondary school,74,yes,block of flats,,4,2,5,3,3,3,4,4,3,3,3,3,4,,3,2,1,most of the day,5,5,2,3,,4,,3,never smoked,,3,1,2,3,3,,3,5,4,4,,2
college/bachelor degree,66,yes,block of flats,,4,1,2,2,2,3,3,3,3,2,3,3,3,,3,2,1,few hours a day,4,3,4,1,,2,,3,never smoked,,2,2,2,1,1,,3,4,5,5,,3
secondary school,69,no,block of flats,,2,4,5,4,5,1,5,5,1,1,2,2,5,,4,2,1,most of the day,5,4,5,3,,5,,1,former smoker,,2,2,3,4,1,,4,4,4,1,,1
secondary school,80,no,block of flats,,5,5,5,5,1,5,2,2,1,5,5,5,5,,5,3,1,few hours a day,5,5,5,3,,5,,5,tried smoking,,2,3,2,5,5,,5,5,5,5,,5
secondary school,55,no,house/bungalow,,5,2,2,3,3,4,5,2,1,5,4,4,5,,5,5,5,few hours a day,5,3,3,1,,4,,5,former smoker,,4,4,4,3,4,,1,5,5,4,,4
secondary school,62,no,block of flats,,4,4,1,4,1,5,5,3,2,4,4,2,4,,4,2,5,less than an hour a day,5,1,4,1,,4,,4,former smoker,,5,4,3,4,4,,3,2,5,5,,3
primary school,74,no,block of flats,,2,3,5,3,4,2,5,4,2,3,3,2,3,,4,3,2,few hours a day,5,3,3,5,,2,,5,tried smoking,,2,1,2,4,4,,3,3,2,2,,5
masters degree,62,no,block of flats,,2,3,1,4,2,5,5,3,3,2,3,3,5,,5,3,2,less than an hour a day,5,3,4,3,,3,,4,former smoker,,4,1,2,3,4,,3,3,3,3,,3
secondary school,57,yes,block of flats,,3,3,1,5,5,4,4,5,1,3,3,3,3,,3,1,4,few hours a day,5,2,4,1,,1,,3,tried smoking,,5,3,5,5,3,,1,5,5,5,,2
secondary school,57,no,house/bungalow,,4,2,3,2,3,4,5,3,2,3,3,4,3,,4,4,1,few hours a day,5,2,4,1,,3,,4,tried smoking,,4,3,3,4,3,,3,2,4,4,,3
college/bachelor degree,67,no,house/bungalow,,2,4,1,4,3,4,5,3,3,3,3,3,5,,,5,1,few hours a day,5,5,4,1,,5,,4,current smoker,,2,1,2,5,2,,2,4,5,1,,3
secondary school,60,no,house/bungalow,,4,5,5,5,4,2,4,5,1,4,4,3,4,,3,4,4,less than an hour a day,5,2,5,1,,5,,3,current smoker,,2,3,4,2,2,,3,4,5,4,,3
masters degree,65,no,house/bungalow,,3,3,4,5,3,4,3,3,3,3,3,3,3,,3,3,3,few hours a day,,3,5,3,,3,,3,,,3,3,3,3,3,,2,4,3,2,,3
college/bachelor degree,72,no,house/bungalow,,4,3,4,3,3,4,5,4,4,4,4,3,4,,2,4,5,few hours a day,5,4,4,3,,4,,4,tried smoking,,3,1,2,3,5,,4,4,5,5,,4
masters degree,69,yes,block of flats,,4,3,4,1,2,5,5,4,2,4,3,2,1,,4,4,2,few hours a day,3,4,4,2,,2,,3,current smoker,,4,1,2,3,2,,4,4,1,1,,2
