Education,Weight,Reliability,Questionnaires or polls,Elections,Compassion to animals,Changing the past,Appearence and gestures,Self-criticism,Waiting,Thinking ahead,Parents' advice,Daily events,God,Lifestruggles,Gettingup,Judgment calls,Foreign languages,Chemistry,Pets,Internetusage,Fun with friends,PC,"Countryside, outdoors",Gardening,Health,Alcohol,Smoking,Latino,Opera,Classical music,Dance,"Hiphop, Rap",Sci-fi,Thriller,Animated,Fantasy/Fairy tales,Ageing,Spendingongadgets,Age
secondary school,74,5,4,3,4,4,4,4,2,4,3,5,4,2,4,5,4,1,4,sometime of the day,4,4,3,3,4,social drinker,smoker,2,2,2,1,4,2,2,5,5,1,2,18
secondary school,70,4,4,1,3,4,5,3,3,3,4,3,3,1,1,5,5,1,1,sometime of the day,5,3,3,1,1,social drinker,smoker,2,1,1,5,4,3,5,2,2,4,1,19
secondary school,58,4,1,3,4,3,4,3,3,3,5,3,1,5,5,3,4,1,3,sometime of the day,5,3,3,2,4,drink a lot,smoker,3,1,4,4,3,2,3,2,3,4,4,19
college/bachelor degree,48,3,3,2,4,2,3,4,3,2,3,3,1,4,4,3,1,5,5,sometime of the day,5,2,4,1,4,social drinker,smoker,5,1,2,3,1,2,2,5,5,2,2,19
secondary school,58,4,1,1,4,2,4,4,4,2,3,3,5,4,2,4,3,3,5,sometime of the day,5,4,3,2,3,drink a lot,smoker,2,1,3,4,3,3,4,5,5,3,3,18
secondary school,54,3,1,2,4,2,5,5,2,5,4,4,5,2,2,5,5,1,1,sometime of the day,5,1,3,1,4,social drinker,smoker,3,3,4,2,3,5,4,3,3,2,1,18
secondary school,54,4,3,5,5,2,4,3,3,3,3,2,3,5,2,5,4,3,1,sometime of the day,5,1,5,1,3,social drinker,smoker,2,2,2,3,2,3,3,3,2,4,2,19
secondary school,43,4,3,5,5,3,4,4,3,3,4,4,5,4,5,3,4,1,5,sometime of the day,5,1,4,3,4,social drinker,smoker,5,1,2,4,4,3,2,5,5,1,4,20
secondary school,70,5,2,4,2,4,2,4,2,2,3,2,1,1,5,3,3,1,2,sometime of the day,5,2,1,1,2,drink a lot,smoker,1,1,2,4,4,3,3,2,1,1,4,19
masters degree,55,5,4,5,5,1,2,5,1,5,5,5,5,5,1,5,5,4,4,sometime of the day,3,3,4,3,5,social drinker,never smoked,1,2,3,1,1,1,2,3,3,1,1,26
secondary school,49,5,3,5,5,5,5,5,2,5,3,3,2,2,5,3,5,1,4,sometime of the day,5,1,4,1,4,drink a lot,smoker,2,2,2,4,4,3,4,4,4,3,4,19
secondary school,67,4,1,1,5,3,3,5,1,5,3,3,4,4,4,5,3,5,,sometime of the day,5,2,4,2,4,social drinker,smoker,5,1,2,3,2,2,5,5,5,3,2,19
college/bachelor degree,82,5,1,5,2,2,4,3,2,5,3,4,4,2,1,4,2,3,5,sometime of the day,5,2,1,4,5,social drinker,smoker,3,4,5,4,2,5,5,5,5,1,5,22
college/bachelor degree,65,5,4,2,4,2,4,4,2,3,4,3,4,3,2,4,3,3,3,sometime of the day,4,3,4,1,4,social drinker,smoker,3,1,3,3,3,2,4,3,3,2,2,20
masters degree,63,5,1,2,5,3,5,5,2,5,4,3,3,5,1,5,5,1,5,sometime of the day,5,3,5,2,5,social drinker,smoker,1,1,1,4,3,1,5,2,5,5,5,28
secondary school,,4,1,1,5,3,3,5,2,5,3,3,3,4,4,5,3,5,3,sometime of the day,5,2,4,2,4,social drinker,smoker,5,1,1,2,2,2,5,5,5,3,2,19
secondary school,48,4,2,1,3,2,4,2,3,1,4,3,1,4,3,4,5,1,5,sometime of the day,5,2,4,2,4,social drinker,smoker,2,1,2,2,3,2,5,5,5,4,1,21
secondary school,58,3,3,4,3,1,3,1,3,3,5,2,5,5,5,5,5,2,3,sometime of the day,4,3,4,4,4,social drinker,never smoked,2,2,2,4,3,1,3,4,5,2,2,19
secondary school,80,4,1,5,5,2,2,1,1,2,5,5,1,1,1,3,2,4,5,sometime of the day,5,5,2,1,5,drink a lot,smoker,1,1,1,3,5,2,3,1,1,1,5,22
secondary school,62,4,2,3,3,2,3,5,2,2,3,2,5,1,4,4,3,1,2,sometime of the day,5,5,4,1,3,social drinker,smoker,2,1,2,4,2,5,4,3,2,2,4,19
secondary school,52,5,4,5,1,1,2,5,1,5,5,1,5,5,5,1,5,5,1,sometime of the day,5,5,5,1,5,social drinker,smoker,5,5,5,5,5,5,1,1,5,1,1,18
secondary school,62,4,2,3,3,3,3,4,4,2,4,1,4,3,4,4,5,2,2,sometime of the day,5,1,4,1,3,social drinker,smoker,2,3,3,2,1,1,2,5,5,2,2,19
secondary school,78,2,1,5,5,3,3,3,3,2,3,5,1,2,5,5,5,1,5,sometime of the day,5,4,1,1,5,drink a lot,smoker,1,1,1,3,5,2,5,3,3,5,5,22
masters degree,96,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,3,sometime of the day,4,3,4,3,3,social drinker,smoker,4,4,3,2,1,2,3,3,3,2,3,29
college/bachelor degree,60,4,3,5,3,3,3,4,4,2,4,4,3,4,1,3,3,3,2,sometime of the day,4,3,4,3,3,social drinker,smoker,2,1,3,3,3,3,3,5,5,5,2,
secondary school,60,3,3,1,5,5,3,5,1,2,3,2,5,5,5,2,4,2,4,sometime of the day,5,2,5,3,4,social drinker,never smoked,5,1,3,3,3,1,1,5,4,3,1,18
secondary school,50,3,1,1,2,3,4,5,2,3,5,4,5,5,4,5,5,1,1,sometime of the day,2,4,5,1,4,social drinker,smoker,5,2,3,4,2,1,4,3,3,3,2,22
secondary school,46,4,3,1,5,3,4,5,4,4,4,4,2,2,3,4,5,1,1,sometime of the day,4,4,4,1,3,never,never smoked,5,2,3,3,2,3,3,3,3,3,2,17
college/bachelor degree,72,3,3,4,3,,3,2,5,2,3,4,1,4,,3,4,1,1,sometime of the day,5,4,3,2,1,drink a lot,smoker,3,1,3,3,4,3,3,3,3,1,3,19
secondary school,46,3,3,5,4,2,3,4,3,5,4,3,5,4,4,2,3,1,1,sometime of the day,4,1,2,1,4,social drinker,smoker,2,1,3,4,4,2,2,3,3,4,1,20
secondary school,60,4,3,1,,3,4,4,3,3,4,3,5,4,2,4,4,1,4,sometime of the day,4,3,3,2,4,social drinker,smoker,2,2,4,3,5,3,3,3,3,3,5,18
secondary school,83,5,4,4,5,1,4,3,5,5,2,4,5,1,3,5,4,1,1,most of the day,5,5,5,1,5,drink a lot,smoker,1,1,1,5,4,4,5,5,5,4,5,22
secondary school,58,5,3,1,3,4,4,5,2,2,4,2,4,5,3,5,3,1,2,sometime of the day,5,4,3,2,3,social drinker,never smoked,3,3,2,4,3,2,5,3,3,3,1,19
secondary school,74,5,2,5,4,2,3,3,2,5,3,1,4,1,4,5,2,4,1,sometime of the day,5,4,4,1,1,social drinker,smoker,2,1,2,4,2,5,4,5,4,3,2,20
masters degree,78,3,1,2,4,3,3,5,2,2,3,2,4,3,3,4,1,2,2,sometime of the day,2,1,3,1,3,social drinker,never smoked,1,2,3,2,1,2,4,1,1,4,2,25
masters degree,64,5,1,1,5,2,1,2,1,5,1,3,5,1,5,5,3,5,5,sometime of the day,3,3,4,1,5,drink a lot,smoker,1,1,1,1,1,1,2,3,4,1,2,29
secondary school,80,5,2,3,5,1,4,1,3,4,4,3,5,1,2,4,2,5,5,sometime of the day,5,5,3,1,4,social drinker,smoker,1,1,3,5,5,3,3,2,2,2,5,19
secondary school,60,2,2,5,5,2,2,4,3,3,3,3,5,4,5,4,3,2,5,sometime of the day,5,2,4,1,3,drink a lot,smoker,4,2,4,3,3,2,3,5,5,1,1,18
secondary school,60,3,2,5,5,3,4,5,3,4,3,3,5,3,3,4,3,4,5,sometime of the day,,3,3,2,4,social drinker,smoker,5,2,4,2,3,1,2,3,3,2,2,20
secondary school,53,4,4,3,5,3,3,3,3,2,4,2,1,4,3,4,2,5,4,most of the day,4,2,3,1,3,social drinker,smoker,2,1,2,2,1,4,4,3,3,3,2,18
masters degree,80,4,3,3,4,1,5,3,4,3,2,1,5,1,4,5,5,2,4,most of the day,5,3,3,1,5,never,smoker,2,2,2,5,2,4,4,2,1,2,4,30
secondary school,57,3,3,3,4,2,3,3,3,2,3,3,2,3,3,4,4,4,5,sometime of the day,5,2,3,3,3,social drinker,smoker,4,2,3,3,3,3,4,4,4,3,2,20
secondary school,55,5,2,4,5,1,4,3,3,2,4,3,3,5,4,3,5,4,5,sometime of the day,5,4,4,4,2,social drinker,smoker,5,4,3,5,4,5,4,5,5,1,3,21
college/bachelor degree,65,5,4,1,1,2,4,1,4,5,4,1,3,2,2,4,,1,1,sometime of the day,5,5,4,1,5,social drinker,never smoked,1,4,5,4,1,4,4,2,3,3,3,22
secondary school,82,4,1,5,5,1,2,4,2,4,3,3,2,1,4,3,1,2,5,sometime of the day,4,4,2,1,3,drink a lot,smoker,1,1,1,2,4,4,4,3,2,1,4,22
college/bachelor degree,73,3,1,1,5,3,3,4,3,2,3,3,2,4,5,5,4,5,3,sometime of the day,5,2,1,1,3,social drinker,smoker,5,1,5,3,3,2,3,5,5,4,2,20
secondary school,57,5,3,1,2,4,3,3,3,5,3,2,3,3,5,3,4,1,1,sometime of the day,5,3,3,3,4,drink a lot,smoker,2,2,2,3,3,4,4,4,4,5,2,20
secondary school,64,4,1,5,5,1,3,2,3,3,3,2,5,5,5,5,5,1,1,sometime of the day,3,3,5,1,2,social drinker,never smoked,4,1,2,4,1,3,4,5,1,5,1,19
masters degree,57,4,2,2,3,2,4,5,4,5,2,5,3,4,5,5,5,2,1,sometime of the day,4,3,3,1,5,social drinker,smoker,3,1,2,4,3,3,5,2,4,4,2,28
secondary school,66,3,3,3,5,5,3,5,1,1,3,4,5,5,5,5,3,3,1,most of the day,5,5,5,1,1,drink a lot,smoker,1,1,1,5,,5,1,2,5,1,5,19
secondary school,75,5,3,5,4,2,2,4,3,4,4,5,1,2,1,3,5,2,3,sometime of the day,4,4,5,1,3,social drinker,smoker,3,4,5,2,3,4,4,3,3,1,4,22
college/bachelor degree,49,5,2,5,3,2,5,3,2,1,3,5,2,3,4,5,5,1,2,sometime of the day,5,1,2,1,3,social drinker,smoker,1,1,1,2,3,1,5,5,5,5,5,20
primary school,50,5,4,1,3,2,3,2,3,5,4,3,4,2,4,5,4,1,1,sometime of the day,4,1,2,1,4,never,never smoked,5,2,2,3,5,1,2,4,5,5,3,16
secondary school,56,4,1,5,3,3,3,2,2,3,3,2,2,2,2,5,4,2,2,sometime of the day,4,3,3,1,3,social drinker,smoker,5,2,2,3,3,4,4,4,4,1,3,19
secondary school,68,4,2,5,5,4,4,5,2,5,4,2,5,5,3,5,5,2,5,sometime of the day,5,3,4,2,5,social drinker,smoker,3,2,4,3,1,2,2,5,5,2,3,20
college/bachelor degree,78,4,2,4,2,2,3,3,3,2,3,3,1,1,4,3,2,1,5,most of the day,5,3,3,2,3,drink a lot,smoker,4,1,2,4,5,3,5,3,2,2,5,21
secondary school,55,5,4,5,3,4,4,5,3,4,4,2,5,5,4,3,4,2,1,sometime of the day,5,2,4,2,4,social drinker,smoker,2,2,2,2,1,3,3,4,3,3,2,19
secondary school,,4,3,5,5,2,5,5,2,5,4,3,5,4,2,4,4,2,4,most of the day,5,3,3,5,4,social drinker,smoker,2,1,2,2,2,3,5,3,3,5,4,20
college/bachelor degree,52,5,3,5,5,3,3,2,3,3,3,3,5,4,4,3,2,3,2,sometime of the day,4,2,5,3,3,social drinker,never smoked,4,4,5,3,2,2,4,4,5,2,2,25
secondary school,60,4,3,3,3,3,4,4,,3,2,3,5,4,5,4,3,1,1,sometime of the day,5,2,2,1,4,social drinker,smoker,4,5,4,3,1,3,1,1,1,1,2,20
secondary school,50,2,2,5,3,3,3,4,3,2,3,3,5,4,5,3,5,1,5,sometime of the day,5,1,5,3,4,social drinker,smoker,3,1,3,3,1,2,1,5,5,3,1,19
secondary school,76,4,1,4,5,1,3,5,4,5,3,3,1,1,1,5,2,1,1,most of the day,5,5,3,1,1,drink a lot,smoker,1,2,3,2,1,4,4,4,4,1,2,22
secondary school,58,4,3,4,5,3,3,4,2,2,4,3,5,5,3,5,4,5,5,sometime of the day,5,4,4,2,5,social drinker,smoker,4,4,4,3,1,5,3,5,5,2,2,19
secondary school,60,5,3,5,4,5,3,5,1,4,3,3,5,3,5,5,5,2,1,sometime of the day,5,2,4,1,3,social drinker,smoker,5,2,4,4,2,1,5,2,2,3,2,21
masters degree,86,5,,5,2,2,3,2,3,4,4,2,4,1,2,5,4,1,1,most of the day,5,5,2,1,2,drink a lot,smoker,1,3,4,4,3,5,5,5,5,2,5,22
masters degree,60,5,3,4,5,3,2,5,2,5,3,2,4,5,5,5,4,2,3,sometime of the day,3,5,5,1,5,social drinker,never smoked,4,4,5,2,1,5,1,5,5,3,1,28
college/bachelor degree,50,4,3,5,3,1,4,1,2,4,4,4,1,2,3,3,4,5,5,sometime of the day,5,3,5,5,2,social drinker,smoker,2,1,2,5,5,4,4,2,4,1,5,21
secondary school,75,4,2,5,3,3,4,2,2,3,3,3,3,1,3,4,2,4,1,sometime of the day,5,3,2,1,2,drink a lot,smoker,2,1,2,3,3,4,4,4,3,2,2,20
secondary school,83,3,3,3,3,3,3,5,3,4,4,3,1,1,3,4,2,1,4,sometime of the day,5,5,1,1,1,drink a lot,smoker,1,1,1,2,5,3,5,2,2,1,3,19
college/bachelor degree,53,3,3,2,3,1,3,3,4,3,3,2,3,3,2,3,2,5,3,sometime of the day,4,2,4,3,3,social drinker,smoker,4,2,3,3,2,4,3,1,5,1,2,21
secondary school,65,4,2,2,4,3,4,1,2,4,4,5,5,3,4,5,5,,3,sometime of the day,5,3,5,1,4,social drinker,smoker,1,1,4,1,1,3,4,4,4,1,3,20
secondary school,,4,1,1,5,3,5,5,4,5,5,3,5,1,5,5,5,1,4,sometime of the day,5,5,4,1,1,never,smoker,3,1,3,4,4,3,2,5,5,5,5,16
college/bachelor degree,70,4,2,2,5,2,3,5,3,5,3,3,1,1,3,5,4,1,5,sometime of the day,5,5,5,1,3,social drinker,never smoked,3,4,4,5,4,4,3,3,4,5,4,22
secondary school,75,4,4,1,5,4,3,2,3,3,4,1,1,3,3,5,5,3,4,sometime of the day,5,5,5,1,4,social drinker,smoker,2,1,3,3,4,4,3,4,4,2,4,19
college/bachelor degree,58,5,3,5,1,1,5,5,1,5,4,3,5,1,1,5,5,1,1,sometime of the day,4,3,5,3,5,never,smoker,,2,2,2,1,5,2,1,3,1,5,22
secondary school,74,4,2,5,3,3,3,4,3,3,3,3,3,1,3,4,3,1,4,most of the day,5,5,2,3,3,drink a lot,never smoked,3,1,2,3,3,3,5,4,4,2,3,20
college/bachelor degree,66,4,1,2,2,2,3,3,3,2,3,3,4,3,4,3,3,1,2,sometime of the day,4,3,4,1,3,social drinker,never smoked,2,2,2,1,1,3,4,5,5,3,2,22
secondary school,69,2,4,5,4,5,1,5,1,1,2,2,3,1,5,5,4,1,1,most of the day,5,4,5,3,1,drink a lot,smoker,2,2,3,4,1,4,4,4,1,1,5,19
secondary school,80,5,5,5,5,1,5,2,1,5,5,5,5,5,5,5,5,1,5,sometime of the day,5,5,5,3,5,never,smoker,2,3,2,5,5,5,5,5,5,5,5,22
secondary school,55,5,2,2,3,3,4,2,1,5,4,4,3,3,1,5,5,5,2,sometime of the day,5,3,3,1,5,social drinker,smoker,4,4,4,3,4,1,5,5,4,4,3,17
secondary school,62,4,4,1,4,1,5,3,2,4,4,2,5,3,2,4,4,5,5,sometime of the day,5,1,4,1,4,social drinker,smoker,5,4,3,4,4,3,2,5,5,3,1,18
primary school,74,2,3,5,3,4,2,4,2,3,3,2,3,2,5,3,4,2,2,sometime of the day,5,3,3,5,5,drink a lot,smoker,2,1,2,4,4,3,3,2,2,5,4,19
masters degree,62,2,3,1,4,2,5,3,3,2,3,3,4,5,1,5,5,2,3,sometime of the day,5,3,4,3,4,social drinker,smoker,4,1,2,3,4,3,3,3,3,3,3,23
secondary school,57,3,3,1,5,5,4,5,1,3,3,3,5,4,4,3,3,4,4,sometime of the day,5,2,4,1,3,drink a lot,smoker,5,3,5,5,3,1,5,5,5,2,1,20
secondary school,57,4,2,3,2,3,4,3,2,3,3,4,2,3,5,3,4,1,5,sometime of the day,5,2,4,1,4,social drinker,smoker,4,3,3,4,3,3,2,4,4,3,3,18
college/bachelor degree,67,2,4,1,4,3,4,3,3,3,3,3,3,3,2,5,,1,4,sometime of the day,5,5,4,1,4,social drinker,smoker,2,1,2,5,2,2,4,5,1,3,5,19
secondary school,60,4,5,5,5,4,2,5,1,4,4,3,5,3,3,4,3,4,5,sometime of the day,5,2,5,1,3,drink a lot,smoker,2,3,4,2,2,3,4,5,4,3,2,19
masters degree,65,3,3,4,5,3,4,3,3,3,3,3,5,3,4,3,3,3,4,sometime of the day,,3,5,3,3,social drinker,,3,3,3,3,3,2,4,3,2,3,3,28
college/bachelor degree,72,4,3,4,3,3,4,4,4,4,4,3,4,1,1,4,2,5,5,sometime of the day,5,4,4,3,4,social drinker,smoker,3,1,2,3,5,4,4,5,5,4,4,21
masters degree,69,4,3,4,1,2,5,4,2,4,3,2,5,2,1,1,4,2,5,sometime of the day,3,4,4,2,3,social drinker,smoker,4,1,2,3,2,4,4,1,1,2,5,23
secondary school,85,5,1,5,5,4,1,3,3,3,3,1,4,1,2,4,3,1,1,most of the day,5,4,2,1,5,social drinker,smoker,1,2,5,3,5,5,5,4,4,1,4,20
secondary school,68,4,4,5,2,4,4,4,2,5,3,5,1,3,3,4,4,1,3,sometime of the day,4,2,1,1,3,social drinker,never smoked,3,2,2,1,1,2,2,4,4,3,3,20
secondary school,50,4,2,3,5,1,2,3,3,2,2,4,4,3,5,4,4,3,2,most of the day,3,2,4,1,2,social drinker,smoker,3,1,3,3,1,3,1,1,3,2,1,28
secondary school,68,3,3,4,5,1,1,5,4,5,1,3,3,2,4,5,4,2,1,sometime of the day,5,5,5,2,3,social drinker,never smoked,2,1,5,2,1,3,1,5,5,1,2,22
secondary school,65,3,3,5,5,5,5,3,4,2,4,3,2,4,5,5,5,1,1,sometime of the day,5,2,4,2,3,drink a lot,smoker,4,2,3,4,2,2,3,5,5,4,1,19
college/bachelor degree,82,4,2,5,5,4,4,3,2,3,3,3,5,2,4,4,5,2,1,sometime of the day,5,4,4,1,4,social drinker,smoker,3,2,2,3,2,3,3,3,3,2,4,21
secondary school,58,4,2,2,5,3,4,5,4,3,3,4,3,3,5,4,3,1,5,sometime of the day,3,2,4,1,3,social drinker,smoker,4,2,3,3,4,5,4,5,5,3,3,21
secondary school,60,5,5,1,5,1,5,1,5,1,3,5,5,1,5,5,4,2,5,sometime of the day,5,1,5,3,5,drink a lot,smoker,4,1,4,3,4,5,4,5,5,1,5,17
college/bachelor degree,57,2,1,3,5,5,5,1,1,2,3,5,4,3,5,5,5,1,5,sometime of the day,5,2,1,1,4,drink a lot,smoker,3,1,1,2,5,1,5,3,3,5,5,19
masters degree,82,3,2,5,4,3,4,2,4,4,3,5,5,1,5,3,5,2,1,sometime of the day,5,3,5,1,4,drink a lot,smoker,1,3,4,3,3,1,4,4,2,5,3,25
secondary school,52,3,3,2,5,3,4,4,3,2,3,3,5,5,4,2,2,5,5,sometime of the day,5,4,3,2,5,social drinker,smoker,3,2,3,3,4,4,4,5,5,2,1,20
college/bachelor degree,85,5,2,5,5,2,3,5,2,5,3,5,4,1,2,5,4,4,1,most of the day,3,5,1,2,4,social drinker,smoker,1,4,5,3,1,5,5,1,2,4,3,26
secondary school,78,5,3,5,5,4,3,4,2,3,3,2,4,3,4,5,2,3,5,sometime of the day,5,5,5,3,4,social drinker,smoker,3,5,5,3,4,5,5,5,5,4,3,21
secondary school,53,3,3,2,4,2,5,4,2,3,4,2,5,5,4,5,3,5,3,sometime of the day,5,3,2,2,5,social drinker,smoker,3,1,2,3,4,3,3,5,5,1,3,20
masters degree,92,5,2,5,3,2,3,4,3,4,3,4,2,2,4,4,4,1,2,most of the day,5,5,4,2,3,drink a lot,smoker,4,2,2,5,5,4,3,4,4,2,2,29
masters degree,80,4,3,5,4,2,4,2,2,4,4,3,4,1,4,4,2,3,2,most of the day,4,5,,1,2,social drinker,smoker,4,2,4,4,3,3,1,4,4,1,5,25
masters degree,75,3,1,5,5,4,4,2,3,3,4,3,4,1,3,2,2,5,5,sometime of the day,5,1,3,3,2,drink a lot,smoker,3,3,4,2,2,4,4,4,4,4,5,21
secondary school,70,5,1,3,5,5,5,5,3,5,5,3,1,3,5,5,1,1,1,most of the day,5,3,3,1,4,social drinker,smoker,1,1,3,3,3,5,5,5,5,3,1,20
masters degree,77,5,3,5,4,1,3,4,4,5,4,3,4,4,1,5,5,2,2,sometime of the day,5,5,5,3,4,social drinker,smoker,5,5,5,3,2,5,5,5,3,2,3,27
secondary school,80,4,3,5,5,2,1,5,5,2,4,5,1,1,4,5,5,1,4,sometime of the day,5,3,3,2,2,social drinker,smoker,1,5,5,1,2,2,5,4,4,1,1,21
secondary school,52,5,4,4,3,1,1,4,2,5,4,3,5,5,,5,3,1,3,sometime of the day,4,1,3,2,3,social drinker,never smoked,1,1,3,1,1,2,1,3,3,1,1,20
college/bachelor degree,51,5,3,5,5,1,4,3,2,5,3,3,3,2,2,5,4,1,2,sometime of the day,3,1,2,3,4,social drinker,smoker,4,2,2,5,5,1,2,5,5,5,1,
primary school,49,3,3,5,5,5,5,5,3,2,3,5,5,4,1,4,5,1,5,sometime of the day,4,2,5,2,2,social drinker,smoker,2,2,3,2,1,5,3,5,5,1,2,17
secondary school,,3,2,1,5,4,3,3,3,3,4,2,5,4,2,3,4,2,1,sometime of the day,5,2,5,3,4,never,smoker,2,2,2,3,1,3,2,5,5,2,2,16
secondary school,50,4,2,5,3,3,3,3,3,2,2,4,5,5,5,5,5,1,5,sometime of the day,5,2,4,2,3,social drinker,smoker,5,2,3,2,1,1,4,4,4,3,2,19
secondary school,53,4,3,1,5,5,5,5,1,4,3,3,5,4,3,4,4,2,5,sometime of the day,5,2,4,1,4,social drinker,never smoked,2,2,2,4,3,3,2,3,4,5,2,18
college/bachelor degree,65,5,3,4,4,3,4,3,3,4,3,2,5,2,3,4,3,2,3,sometime of the day,4,4,5,2,3,social drinker,smoker,3,1,3,3,3,2,2,2,3,2,2,19
college/bachelor degree,63,5,5,1,5,5,2,5,1,5,2,1,5,5,1,5,4,1,3,sometime of the day,5,1,5,2,2,social drinker,smoker,4,1,1,5,4,1,4,2,4,3,2,21
secondary school,50,3,4,1,4,5,3,3,3,4,4,2,3,3,5,4,4,1,2,sometime of the day,5,2,4,1,5,social drinker,smoker,1,1,3,3,4,2,2,1,3,4,2,16
college/bachelor degree,55,3,2,3,5,4,4,4,2,3,4,1,3,4,4,5,5,1,5,sometime of the day,5,4,4,1,5,social drinker,smoker,3,2,2,2,2,5,4,3,3,5,3,20
primary school,,4,1,2,5,1,4,3,3,4,4,3,5,4,4,4,4,2,4,sometime of the day,5,2,4,1,2,social drinker,never smoked,5,2,2,3,1,2,2,5,5,2,2,19
secondary school,55,4,3,2,5,5,3,4,3,2,3,3,3,5,4,2,2,1,2,most of the day,5,2,4,1,5,social drinker,smoker,1,1,1,5,5,2,5,3,3,5,2,20
currently a primary school pupil,57,4,5,1,3,5,1,5,1,5,4,1,5,5,5,2,4,5,5,sometime of the day,,,5,5,5,social drinker,never smoked,4,3,4,4,4,4,2,5,5,5,1,16
secondary school,86,5,2,5,5,2,3,5,3,4,4,4,5,2,2,4,4,1,3,sometime of the day,4,4,5,3,4,never,smoker,4,3,4,4,5,5,4,4,4,3,3,20
currently a primary school pupil,70,4,3,4,3,5,3,2,3,3,3,2,5,1,5,3,3,2,3,sometime of the day,5,5,5,2,1,social drinker,smoker,,1,2,5,5,3,4,2,2,1,2,18
secondary school,85,4,1,2,3,1,5,1,4,4,4,5,1,1,5,5,5,3,4,sometime of the day,4,3,4,1,3,never,smoker,1,1,3,4,5,3,4,3,4,4,4,20
college/bachelor degree,75,2,1,1,5,3,4,1,1,3,4,5,3,2,2,2,5,1,3,sometime of the day,5,3,1,1,3,social drinker,smoker,1,1,1,5,3,5,5,5,5,1,4,20
primary school,49,2,3,3,4,5,3,3,3,2,3,4,3,4,5,5,5,,2,sometime of the day,5,5,5,5,3,social drinker,smoker,2,3,2,5,2,5,5,5,5,3,3,16
secondary school,76,4,5,4,5,3,4,3,4,4,4,3,2,4,4,5,2,1,4,sometime of the day,4,2,4,3,2,social drinker,never smoked,3,1,2,3,4,2,2,3,3,1,2,19
secondary school,97,2,1,4,4,4,2,3,2,2,2,3,2,1,4,4,2,2,2,sometime of the day,4,3,3,1,3,drink a lot,,2,1,1,4,3,2,3,3,3,4,2,19
college/bachelor degree,64,4,2,2,5,4,4,2,2,3,4,2,2,3,3,4,5,1,1,most of the day,5,4,5,2,4,social drinker,smoker,3,1,2,5,3,1,3,4,2,4,2,23
college/bachelor degree,48,3,4,5,4,3,3,3,3,3,3,3,3,3,3,3,4,2,5,sometime of the day,5,3,3,3,3,social drinker,smoker,3,1,3,4,2,4,2,4,4,1,3,20
secondary school,88,4,1,3,3,4,5,2,3,3,3,3,3,3,3,,5,1,3,sometime of the day,4,3,5,1,4,social drinker,smoker,2,1,2,3,2,1,2,3,3,5,5,23
currently a primary school pupil,75,5,5,3,4,5,5,3,3,,5,3,5,5,1,3,5,3,4,sometime of the day,5,5,4,1,5,never,smoker,,1,2,4,5,5,2,1,1,1,5,19
college/bachelor degree,56,4,4,1,5,3,5,2,1,4,4,3,3,2,3,3,3,4,5,sometime of the day,5,1,5,4,3,social drinker,smoker,1,2,4,3,2,1,3,2,3,3,4,22
primary school,75,5,1,5,1,1,1,5,1,2,3,2,3,1,5,3,5,3,4,most of the day,5,3,4,1,2,social drinker,never smoked,1,1,1,3,3,3,3,3,3,1,5,17
secondary school,58,3,3,3,5,1,4,1,4,1,3,3,3,5,5,5,5,5,4,sometime of the day,5,3,3,3,3,social drinker,never smoked,2,1,1,5,3,1,3,5,5,1,1,20
secondary school,65,4,2,5,3,2,4,2,3,4,2,3,4,4,3,4,4,4,4,sometime of the day,5,2,5,3,4,social drinker,smoker,5,2,4,3,2,3,2,4,5,4,2,21
secondary school,78,3,2,2,4,2,3,3,2,3,3,3,1,2,5,4,3,2,4,sometime of the day,5,5,4,1,1,drink a lot,smoker,2,2,3,3,5,5,5,5,4,1,5,21
secondary school,43,3,3,3,4,3,4,2,2,3,2,3,2,4,5,3,3,2,5,sometime of the day,5,2,1,1,5,social drinker,smoker,2,1,2,4,1,4,4,3,2,2,2,19
secondary school,75,5,3,5,5,1,3,4,3,3,4,2,2,3,5,3,5,5,5,sometime of the day,4,3,5,2,3,social drinker,never smoked,4,2,2,3,4,5,3,5,5,4,3,20
college/bachelor degree,95,3,1,1,2,3,4,3,2,4,3,2,3,3,4,3,3,2,2,most of the day,5,5,2,1,3,social drinker,never smoked,2,1,5,4,3,5,5,5,4,2,4,19
secondary school,65,5,2,2,4,1,4,5,2,4,3,3,1,1,1,5,2,1,,sometime of the day,3,3,2,1,1,social drinker,smoker,1,1,1,1,5,5,3,5,5,1,4,21
secondary school,55,4,5,4,4,5,3,3,2,2,4,3,2,5,2,4,2,2,5,sometime of the day,5,3,3,2,4,drink a lot,smoker,2,1,1,2,4,1,4,4,4,4,3,22
college/bachelor degree,70,4,2,4,2,2,4,5,1,4,2,4,4,1,4,4,5,2,1,sometime of the day,5,2,5,1,3,drink a lot,never smoked,3,2,3,4,4,4,3,2,3,3,2,22
college/bachelor degree,80,4,3,5,4,3,4,3,2,2,4,5,4,3,4,5,3,1,4,most of the day,4,5,3,2,4,social drinker,smoker,3,1,3,2,5,5,5,2,2,1,5,22
masters degree,65,3,3,3,5,4,3,5,3,1,4,2,3,4,5,1,2,1,5,most of the day,3,3,3,2,3,drink a lot,smoker,4,2,2,4,2,3,4,5,5,3,2,28
